,text,label
0,In Pictures: 8 asanas brought to you by PM Modi with commentary by Sagarika Ghose,1
1,Diesel costlier by 3 as Bihar government withdraws VAT rebate,0
2,NASA Releases Satellite Image Of Apology Letters For #MeToo Coming From India,1
3,Global real estate to get uniform international measurement standards soon,0
4,"Kanye West New Girlfriend, Chaney Jones Leaves Kanye West For Kanye West Lookalike",1
5,"Pakistan passes Citizenship Amendment Bill, will grant citizenship to persecuted terrorists of neighboring nations",1
6,Yogendra Yadav Beaten Up At Immigration For Applying ‘Protester Visa’ To Travel To Canada,1
7,"CAPTION THIS: Arun Jaitley, the fist pumper",1
8,DGCA licence received for Pithoragarh airport: Finance minister Prakash Pant,0
9,UnReal Toon: Movement from Congress’ Indian-Nest to Modi’s Indian-ness,1
10,Kolkata homes in a fix as 30;000 maids; drivers leave to cast their votes,0
11,"After Nithyananda, LK Advani to establish his own country to fulfill his long due dream of becoming PM",1
12,Salman Khan's lawyer: No evidence produced that actor drove the car,0
13,Maharashtra: Soon; an app to guide FYJC aspirants on filling e-forms,0
14,Anup's calming personality helped us deal with pressure situations: Avantika Shetty,0
15,National Archive; London to hand over copies of 4 files about Udham Singh,0
16,U.S. steps up pressure on Hezbollah; offers reward for two operatives,0
17,"Now, New York Times trolls Dhoni for not being secular",1
18,Arvind Kejriwal To Inaugurate Covid 3rd Wave,1
19,Trichy corpn begins trial run of Thiruverumbur water project,0
20,Rupee Cooperative Bank ceases to exist from September 22; Rs 5 lakh maximum return,0
21,"PM Modi does a Virat Kohli, writes scathing post against those trolling LK Advani",1
22,Of all abductions reported in UP; over 75% are of women for marriage,0
23,URT’s Betaal Bhootwalla gatecrashes into an Indian Celebrity Ghost Convention: An exclusive report,1
24,Kamala Harris Says Would Rather Take Baba Ramdev’s Coronil Than Trump’s Vaccine,1
25,Veerendra Heggade exhorts Prime Minister to launch 'Sharab Mukt Bharat',0
26,"ISIS Militant Applies for Mudra Loan, Proves Rahul Gandhi Right.",1
27,Facebook Wall: Politicians react after Supreme Court rules Sec 66A of IT act unconstitutional,1
28,JEE Main Topper Twins To Retake Their Blood Test After They Scored Only B+,1
29,Now; asymptomatic Covid patients can opt for home quarantine: CM Pramod Sawant,0
30,"Inspired by Day-Night test match, PM Modi mulls Day-Night Parliament sessions",1
31,From student to entrepreneur: Tips to kick-start a student startup,0
32,Rajasthan: Runaway couple 'vows' to end lives; uploads video,0
33,In Pictures: Brands Indian celebrities might endorse,1
34,"JNU Students Unhappy With The New Education Policy, Say Still Have To Study",1
35,Mukesh Ambani explores 21 never visited rooms of Antilia during LockDown,1
36,Supreme Court mulls a separate bench for Cricket,1
37,Fadnavis orders Pankaja Munde to exchange cellphones with Ashish Nehra after “drought selfie”,1
38,Government rules out hike in minimum support price of wheat; opposition stages walkout,0
39,BJP leader sacked from party for not giving interviews,1
40,Bengaluru: Kempegowda International Airport sees record growth of 17.6% in last fiscal,0
41,Rahul Gandhi Facebook wall leaked !! »,1
42,India trying to secure release of priest in Yemen: Sushma Swaraj,0
43,Ranveer Singh’s fashion designer on Narcotics Bureau’s Radar,1
44,FIR Registered Against Thunderstorm For Damaging Jama Masjid Dome,1
45,Letter to CJI a follow-up of MoP: Kiren Rijiju to Arvind Kejriwal,0
46,This picture of Priyanka Chopra and Nick Jonas is all about love!,0
47,CEO’s daughter shocked after he talks to her personally instead of writing an open letter,1
48,Captain Amarinder Singh desperate for credibility in own party: CM,0
49,3 months on; Panjab University yet to act in sexual harassment case,0
50,Alliance with AAP still possible if talks confined to Delhi; says Congress,0
51,Indian diplomat manhandling fallout: Great Khali to be new Indian Ambassador to China »,1
52,Covid Vaccines Show Poor Health Infrastructure Under Modi Govt; Can’t Afford More Covid Patients,1
53,Facebook Wall: Reactions to Sania Mirza – Martina Hingis split,1
54,MP CM Shivraj Singh Chauhan hands over approvals under Janseva Abhiyan,0
55,Corporation Bank launches two new savings account variants in Dubai,0
56,V S Achuthanandan; Sudheeran urge govt to explore legal route,0
57,Madras HC lets professor to fly abroad; says it's a fundamental right,0
58,"Diggy credits Rahul for Sachin 100th ton: Had granny not created B’desh, Sachin wouldn’t‘ve got it »",1
59,Power crisis: Pak to harness Arnab Goswami’s voice on The Newshour to generate electricity,1
60,Chris Rock to Contest US Election After Will Smith Slaps him at Oscars,1
